course_id,course_name,difficulty,description,learning,tags,picture,student_id,isActive,rating,registered_date
CSAII_144,Cyber-Physical Systems and IoT Integration,Advanced,This advanced-level course focuses on cyber-physical systems (CPS) and their integration with the Internet of Things (IoT). Learn about CPS design and IoT connectivity.,"Master the principles of cyber-physical systems (CPS).
Learn about IoT integration and connectivity for CPS applications.
Explore real-world CPS and IoT use cases in industry.
Design and develop advanced CPS and IoT solutions.","['cyber-physical systems', 'IoT integration', 'advanced', 'CPS design']",https://dummyimage.com/1002x639,CSAII_144-1,True,4,2019-09-16
WAS_33,Web Application Security,Intermediate,"This intermediate-level course focuses on web application security. Learn about common vulnerabilities, security protocols, and secure coding practices.","Identify and mitigate common web application vulnerabilities.
Implement security protocols like HTTPS and OAuth2.
Practice secure coding techniques to protect web applications.
Perform security assessments and penetration testing.","['web application security', 'intermediate', 'vulnerabilities', 'secure coding']",https://placekitten.com/807/874,WAS_33-1,True,5,2019-09-12
WDWW_104,Web Development with WordPress,Beginner,This beginner-level course introduces web development with WordPress. Learn to create and customize websites using this popular content management system.,"Get started with web development using WordPress as a content management system.
Create and customize websites with themes and plugins.
Learn about web design principles and user-friendly website development.
Publish and maintain websites using WordPress.","['web development', 'beginner', 'WordPress', 'content management system']",https://picsum.photos/844/508,WDWW_104-1,False,4,2019-06-11
ATICR_226,Advanced Topics in Cybersecurity Research,Advanced,This advanced-level course delves into advanced topics in cybersecurity research. Explore cutting-edge cybersecurity challenges and solutions.,"Master advanced concepts in cybersecurity research and innovation.
Learn to analyze and address emerging cyber threats and vulnerabilities.
Explore security testing, threat intelligence, and cyber defense strategies.
Contribute to the advancement of cybersecurity knowledge and practices.","['cybersecurity', 'research', 'advanced', 'cyber threats', 'security testing']",https://placekitten.com/417/482,ATICR_226-1,True,4,2019-06-27
QML_177,Quantum Machine Learning,Advanced,This advanced-level course focuses on quantum machine learning. Learn to leverage quantum computing for advanced machine learning algorithms.,"Understand quantum computing and its applications in machine learning.
Learn to implement quantum algorithms for machine learning tasks.
Explore quantum machine learning libraries and frameworks.
Develop and optimize quantum machine learning models.","['quantum computing', 'machine learning', 'advanced', 'quantum algorithms', 'quantum machine learning']",https://placekitten.com/171/644,QML_177-1,True,2,2018-02-14
ITSMS_191,Introduction to Social Media Security,Beginner,This beginner-level course covers social media security practices. Learn to protect your online presence and privacy on social platforms.,"Understand the importance of social media security.
Learn to set privacy settings and manage online profiles.
Explore common social media threats and scams.
Safeguard your personal information and digital identity on social media.","['social media security', 'beginner', 'online privacy', 'digital identity']",https://placekitten.com/115/914,ITSMS_191-1,False,2,2018-06-08
ADV_90,Advanced Data Visualization,Intermediate,This intermediate-level course focuses on advanced data visualization techniques. Learn about interactive visualizations and storytelling with data.,"Create advanced data visualizations using tools like D3.js and Tableau.
Understand principles of data storytelling and effective communication.
Develop interactive dashboards and data-driven narratives.
Visualize complex data sets for insights and decision-making.","['data visualization', 'intermediate', 'D3.js', 'Tableau', 'data storytelling']",https://dummyimage.com/119x194,ADV_90-1,False,3,2019-06-06
AIAV_183,AI in Autonomous Vehicles,Advanced,This advanced-level course focuses on AI in autonomous vehicles. Learn to develop AI systems for self-driving cars and autonomous mobility.,"Understand AI technologies for autonomous vehicles.
Learn to build AI systems for self-driving cars and mobility solutions.
Explore perception, decision-making, and control in autonomous vehicles.
Contribute to the advancement of AI-driven autonomous mobility.","['AI', 'autonomous vehicles', 'advanced', 'self-driving cars', 'mobility solutions']",https://picsum.photos/12/387,AIAV_183-1,True,2,2019-01-07
CSFN_20,Computer Science for Non-Majors,Beginner,This course is designed for individuals who are not computer science majors but want to gain a basic understanding of computer science concepts and applications.,"Gain a foundational understanding of computer science and its relevance in various fields.
Learn about key computer science topics, including algorithms and data structures.
Explore practical applications of computer science in everyday life and various industries.
Acquire problem-solving skills through hands-on exercises and projects.","['computer science', 'beginner', 'non-majors', 'algorithms', 'data structures']",https://picsum.photos/557/857,CSFN_20-1,False,2,2018-09-17
BYFMA_203,Building Your First Mobile App,Beginner,This beginner-level course guides you in building your first mobile app. Learn app development basics and create your own mobile application.,"Understand the mobile app development process.
Learn to create a simple mobile app from scratch.
Explore app development tools and platforms.
Turn your app idea into a reality with hands-on development.","['mobile app development', 'beginner', 'app development basics', 'app creation']",https://picsum.photos/837/728,BYFMA_203-1,True,3,2018-11-21
IT3PAM_108,Introduction to 3D Printing and Modeling,Beginner,"This beginner-level course introduces 3D printing and modeling. Learn about 3D design, modeling software, and the 3D printing process.","Understand the basics of 3D printing and its applications.
Learn 3D modeling using software like Tinkercad or Blender.
Explore the 3D printing process from design to printing.
Create 3D-printable models and objects.","['3D printing', 'beginner', '3D modeling', 'Tinkercad', 'Blender']",https://dummyimage.com/197x481,IT3PAM_108-1,True,3,2019-09-29
CBP_29,Cybersecurity Best Practices,Intermediate,"This intermediate-level course focuses on cybersecurity best practices. Learn about threat detection, risk assessment, and security measures to protect digital assets.","Identify common cybersecurity threats and vulnerabilities.
Perform risk assessments and develop security strategies.
Implement security measures to protect networks and data.
Stay updated with cybersecurity best practices and compliance standards.","['cybersecurity', 'security best practices', 'intermediate', 'threat detection']",https://picsum.photos/952/758,CBP_29-1,False,4,2019-04-08
CLFS_200,Computer Literacy for Seniors,Beginner,This beginner-level course is designed for seniors to learn computer literacy. Develop basic computer skills and navigate the digital world with confidence.,"Learn the basics of computer hardware and software.
Explore common computer applications and tools.
Develop essential computer skills for everyday tasks.
Become a confident and empowered digital user as a senior.","['computer literacy', 'beginner', 'senior citizens', 'digital skills', 'computer applications']",https://placekitten.com/72/92,CLFS_200-1,True,2,2018-12-30
CHB_66,Computer Hardware Basics,Beginner,"This beginner-level course covers computer hardware fundamentals. Learn about components, peripherals, and basic troubleshooting techniques.","Understand computer hardware components like CPU, RAM, and storage devices.
Learn about input and output peripherals, including keyboards and monitors.
Troubleshoot common hardware issues and perform basic upgrades.
Explore computer hardware terminology and specifications.","['computer hardware', 'beginner', 'hardware components', 'troubleshooting']",https://picsum.photos/262/134,CHB_66-1,True,3,2018-06-21
BWD_27,Back-End Web Development,Intermediate,"This intermediate-level course covers back-end web development. Learn server-side programming, API development, and database integration for building robust web applications.","Master server-side programming using languages like Python, Node.js, or Ruby.
Develop RESTful APIs for communication between front-end and back-end systems.
Integrate databases and perform CRUD operations on data.
Build scalable and secure web applications with back-end development skills.","['web development', 'back-end', 'intermediate', 'API development']",https://dummyimage.com/851x586,BWD_27-1,True,3,2018-02-22
ATISER_145,Advanced Topics in Software Engineering Research,Advanced,This advanced-level course delves into advanced topics in software engineering research. Explore cutting-edge research areas and contribute to the field.,"Explore advanced topics in software engineering research.
Stay updated with cutting-edge research areas and trends.
Contribute to ongoing software engineering research projects.
Publish research findings and advance the field of software engineering.","['software engineering', 'research', 'advanced topics', 'cutting-edge research']",https://dummyimage.com/1015x797,ATISER_145-1,False,2,2019-07-02
ARAA_140,Advanced Robotics and Automation,Advanced,"This advanced-level course explores advanced robotics and automation technologies. Learn about robot perception, control systems, and autonomous robots.","Master advanced robotics concepts and technologies.
Explore robot perception and sensor fusion techniques.
Understand advanced control systems for robotic applications.
Design and develop autonomous robots and robotic systems.","['robotics', 'automation', 'advanced', 'robot perception', 'autonomous robots']",https://dummyimage.com/241x298,ARAA_140-1,False,2,2018-10-02
BACG_181,Bioinformatics and Computational Genomics,Advanced,This advanced-level course focuses on bioinformatics and computational genomics. Learn to analyze biological data and genomics using computational tools.,"Master bioinformatics techniques for analyzing biological data.
Learn about genomics, structural biology, and computational tools.
Apply computational methods to biological research and analysis.
Contribute to advancements in bioinformatics and genomics research.","['bioinformatics', 'computational genomics', 'advanced', 'biological data analysis', 'genomics research']",https://placekitten.com/931/224,BACG_181-1,False,3,2019-03-07
ITGD_72,Introduction to Game Development,Beginner,"This beginner-level course provides an introduction to game development. Learn about game design, game engines, and creating simple games.","Understand the fundamentals of game design and game development.
Explore popular game engines like Unity and Godot.
Create simple 2D and 3D games with interactive gameplay.
Learn about the game development process from idea to playable game.","['game development', 'beginner', 'game design', 'game engines']",https://picsum.photos/559/175,ITGD_72-1,False,1,2018-11-20
CBFB_3,Computer Basics for Beginners,Beginner,"This course is designed for individuals with little or no prior knowledge of computers. You will learn about computer hardware, software, operating systems, and basic computer usage.","Gain an understanding of computer hardware components and their functions.
Learn about different types of software and their applications.
Explore common operating systems and their features.
Acquire basic computer skills for tasks like file management and internet browsing.","['computer basics', 'beginner', 'computer hardware', 'software', 'operating systems']",https://dummyimage.com/448x558,CBFB_3-1,False,4,2018-11-30
ATICR_226,Advanced Topics in Cybersecurity Research,Advanced,This advanced-level course delves into advanced topics in cybersecurity research. Explore cutting-edge cybersecurity challenges and solutions.,"Master advanced concepts in cybersecurity research and innovation.
Learn to analyze and address emerging cyber threats and vulnerabilities.
Explore security testing, threat intelligence, and cyber defense strategies.
Contribute to the advancement of cybersecurity knowledge and practices.","['cybersecurity', 'research', 'advanced', 'cyber threats', 'security testing']",https://placekitten.com/417/482,ATICR_226-2,True,4,2019-09-10
CVADL_141,Computer Vision and Deep Learning,Advanced,"This advanced-level course focuses on computer vision and deep learning. Learn about image recognition, neural networks, and advanced vision applications.","Master computer vision techniques and deep learning models.
Learn about image recognition, object detection, and image segmentation.
Explore advanced vision applications in healthcare, robotics, and more.
Develop computer vision and deep learning projects.","['computer vision', 'deep learning', 'advanced', 'image recognition', 'neural networks']",https://dummyimage.com/315x641,CVADL_141-1,True,5,2018-10-25
