course_id,course_name,difficulty,description,learning,tags,Average rating,Number of reviews,Popularity
CSAII_144,Cyber-Physical Systems and IoT Integration,Advanced,This advanced-level course focuses on cyber-physical systems (CPS) and their integration with the Internet of Things (IoT). Learn about CPS design and IoT connectivity.,"Master the principles of cyber-physical systems (CPS).
Learn about IoT integration and connectivity for CPS applications.
Explore real-world CPS and IoT use cases in industry.
Design and develop advanced CPS and IoT solutions.","['cyber-physical systems', 'IoT integration', 'advanced', 'CPS design']",3.0,11,High
WAS_33,Web Application Security,Intermediate,"This intermediate-level course focuses on web application security. Learn about common vulnerabilities, security protocols, and secure coding practices.","Identify and mitigate common web application vulnerabilities.
Implement security protocols like HTTPS and OAuth2.
Practice secure coding techniques to protect web applications.
Perform security assessments and penetration testing.","['web application security', 'intermediate', 'vulnerabilities', 'secure coding']",2.9,14,Very High
WDWW_104,Web Development with WordPress,Beginner,This beginner-level course introduces web development with WordPress. Learn to create and customize websites using this popular content management system.,"Get started with web development using WordPress as a content management system.
Create and customize websites with themes and plugins.
Learn about web design principles and user-friendly website development.
Publish and maintain websites using WordPress.","['web development', 'beginner', 'WordPress', 'content management system']",2.9,9,Medium
ATICR_226,Advanced Topics in Cybersecurity Research,Advanced,This advanced-level course delves into advanced topics in cybersecurity research. Explore cutting-edge cybersecurity challenges and solutions.,"Master advanced concepts in cybersecurity research and innovation.
Learn to analyze and address emerging cyber threats and vulnerabilities.
Explore security testing, threat intelligence, and cyber defense strategies.
Contribute to the advancement of cybersecurity knowledge and practices.","['cybersecurity', 'research', 'advanced', 'cyber threats', 'security testing']",2.6,9,Medium
QML_177,Quantum Machine Learning,Advanced,This advanced-level course focuses on quantum machine learning. Learn to leverage quantum computing for advanced machine learning algorithms.,"Understand quantum computing and its applications in machine learning.
Learn to implement quantum algorithms for machine learning tasks.
Explore quantum machine learning libraries and frameworks.
Develop and optimize quantum machine learning models.","['quantum computing', 'machine learning', 'advanced', 'quantum algorithms', 'quantum machine learning']",2.5,14,Very High
ITSMS_191,Introduction to Social Media Security,Beginner,This beginner-level course covers social media security practices. Learn to protect your online presence and privacy on social platforms.,"Understand the importance of social media security.
Learn to set privacy settings and manage online profiles.
Explore common social media threats and scams.
Safeguard your personal information and digital identity on social media.","['social media security', 'beginner', 'online privacy', 'digital identity']",3.4,10,High
ADV_90,Advanced Data Visualization,Intermediate,This intermediate-level course focuses on advanced data visualization techniques. Learn about interactive visualizations and storytelling with data.,"Create advanced data visualizations using tools like D3.js and Tableau.
Understand principles of data storytelling and effective communication.
Develop interactive dashboards and data-driven narratives.
Visualize complex data sets for insights and decision-making.","['data visualization', 'intermediate', 'D3.js', 'Tableau', 'data storytelling']",3.1,15,Very High
AIAV_183,AI in Autonomous Vehicles,Advanced,This advanced-level course focuses on AI in autonomous vehicles. Learn to develop AI systems for self-driving cars and autonomous mobility.,"Understand AI technologies for autonomous vehicles.
Learn to build AI systems for self-driving cars and mobility solutions.
Explore perception, decision-making, and control in autonomous vehicles.
Contribute to the advancement of AI-driven autonomous mobility.","['AI', 'autonomous vehicles', 'advanced', 'self-driving cars', 'mobility solutions']",2.7,7,Low
CSFN_20,Computer Science for Non-Majors,Beginner,This course is designed for individuals who are not computer science majors but want to gain a basic understanding of computer science concepts and applications.,"Gain a foundational understanding of computer science and its relevance in various fields.
Learn about key computer science topics, including algorithms and data structures.
Explore practical applications of computer science in everyday life and various industries.
Acquire problem-solving skills through hands-on exercises and projects.","['computer science', 'beginner', 'non-majors', 'algorithms', 'data structures']",3.4,11,High
BYFMA_203,Building Your First Mobile App,Beginner,This beginner-level course guides you in building your first mobile app. Learn app development basics and create your own mobile application.,"Understand the mobile app development process.
Learn to create a simple mobile app from scratch.
Explore app development tools and platforms.
Turn your app idea into a reality with hands-on development.","['mobile app development', 'beginner', 'app development basics', 'app creation']",2.8,6,Low
